Ruc|Nombre/Razon|A partir del|Resolucion|
20101317316|DIESTRA S.A.C.|01/09/2010|RS R.S.217-2010|
20100118760|DINERS CLUB PERU S A|01/06/2002|RS R.S.037-2002|
20515351541|DINETPERU S.A|02/05/2011|RS R.S.082-2011|
20199565398|DIR.SUB-REG.DE SALUD LUCIANO CASTILLO C.|01/11/2002|RS R.S.135-2002|
20381959997|DIREC.INSTRUCCION DE LA POLICIA NACIONAL|01/11/2002|RS R.S.135-2002|
20408454299|DIRECC. DE ADMINISTRAC.GENERAL DE SALUD|01/11/2002|RS R.S.135-2002|
20177030563|DIRECCION DE SALUD II LIMA SUR|01/11/2002|RS R.S.135-2002|
20147966904|DIRECCION DE SALUD IV LIMA ESTE|01/11/2002|RS R.S.135-2002|
20126484560|DIRECCION DE SALUD V LIMA CIUDAD|01/11/2002|RS R.S.135-2002|
20381159281|DIRECCION GENERAL DE INFRAESTRUCTURA - INPE|01/11/2002|RS R.S.135-2002|
20332678516|DIRECCION REGIONAL DE EDUCACION DEL CALLAO|01/11/2002|RS R.S.135-2002|
20325722941|DIRECCION REGIONAL DE EDUCACION TACNA|01/11/2002|RS R.S.135-2002|
20366964437|DIRECCION REGIONAL DE EDUCACION TUMBES|01/11/2002|RS R.S.135-2002|
20147106981|DIRECCION REGIONAL DE EDUCACION-RENOM|01/11/2002|RS R.S.135-2002|
20171092354|DIRECCION REGIONAL DE SALUD CUSCO|01/11/2002|RS R.S.135-2002|
20162086716|DIRECCION REGIONAL DE SALUD DE LIMA|01/11/2002|RS R.S.135-2002|
20407625235|DIRECCION REGIONAL DE SALUD HUANCAVELICA|01/11/2002|RS R.S.135-2002|
20171178585|DIRECCION REGIONAL DE SALUD ICA|01/11/2002|RS R.S.135-2002|
20163833094|DIRECCION REGIONAL DE SALUD LAMBAYEQUE|01/11/2002|RS R.S.135-2002|
20171880891|DIRECCION REGIONAL DE SALUD MOQUEGUA|01/11/2002|RS R.S.135-2002|
20171766509|DIRECCION REGIONAL DE SALUD PIURA|01/11/2002|RS R.S.135-2002|
20156003817|DIRECCION REGIONAL DE SALUD REG CHAVIN|01/11/2002|RS R.S.135-2002|
20154547259|DIRECCION REGIONAL DE SALUD SAN MARTIN|01/11/2002|RS R.S.135-2002|
20195189146|DIRECCION REGIONAL DE SALUD TACNA|01/11/2002|RS R.S.135-2002|
20198261476|DIRECCION REGIONAL DE SALUD UCAYALI|01/11/2002|RS R.S.135-2002|
20353982878|DIRECCION REGIONAL NORTE CHICLAYO-INPE|01/11/2002|RS R.S.135-2002|
20147907487|DIRECCI”N REGIONAL DE SALUD DEL CALLAO - DIRESA CALLAO|01/11/2002|RS R.S.135-2002|
20510944764|DIRECTV PERU S.R.L.|02/05/2011|RS R.S.082-2011|
20100059224|DISENO Y COLOR S.A|01/06/2002|RS R.S.037-2002|
20514721361|DISMAR REPRESENTACIONES S.A.C.|02/05/2011|RS R.S.082-2011|
20107113127|DISMOTSA|01/06/2002|RS R.S.037-2002|
20520016768|DISTAC S.A.|02/05/2011|RS R.S.082-2011|
20117623794|DISTGAN S.A.C.|01/02/2003|RS R.S.181-2002|
20499709944|DISTRIBUCION Y GERENCIA ALIMENTARIA SAC|01/05/2003|RS R.S.080-2003|
20100133050|DISTRIBUIDORA BOLIVARIANA S A|01/06/2002|RS R.S.037-2002|
20102892381|DISTRIBUIDORA COMERCIAL ALVAREZ BOHL SRL|01/05/2003|RS R.S.080-2003|
20100067081|DISTRIBUIDORA CONTINENTAL 6 S A|01/06/2002|RS R.S.037-2002|
20108983583|DISTRIBUIDORA DROGUERIA ALFARO S.A.C.|01/06/2002|RS R.S.037-2002|
20100882249|DISTRIBUIDORA GALVEZ S A|01/05/2003|RS R.S.080-2003|
20155795108|DISTRIBUIDORA GIL SA|01/06/2002|RS R.S.037-2002|
20384505652|DISTRIBUIDORA GUMI S.A.C.|01/05/2003|RS R.S.080-2003|
20100045193|DISTRIBUIDORA INCORESA S A|01/06/2002|RS R.S.037-2002|
20302723070|DISTRIBUIDORA J.D.J EIRL|01/01/2010|RS R.S.265-2009|
20100160880|DISTRIBUIDORA LAMAS S R L|01/03/2009|RS R.S.030-2009|
20440199578|DISTRIBUIDORA LINARES S.A.C.|02/05/2011|RS R.S.082-2011|
20131644524|DISTRIBUIDORA NORTE PACASMAYO SRL|01/02/2003|RS R.S.181-2002|
20100154219|DISTRIBUIDORA VEGA S A|01/06/2002|RS R.S.037-2002|
20502797230|DIVEIMPORT S.A.|01/08/2006|RS R.S.091-2006|
20376303811|DOE RUN PERU S.R.L.|01/06/2002|RS R.S.037-2002|
20100999430|DOMIRUTH TRAVEL SERVICE S.A.C|01/09/2010|RS R.S.217-2010|
20451060393|DON POLLO LORETO S.A.C.|02/05/2011|RS R.S.082-2011|
20106896276|DONGO - SORIA, GAVEGLIO Y ASOCIADOS SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA|01/06/2002|RS R.S.037-2002|
